layer,county_fips,county_name,h3,black_alone_apportioned,black_alone_delta,black_alone_point,dem_votes_apportioned,dem_votes_delta,dem_votes_point,hispanic_or_latino_apportioned,hispanic_or_latino_delta,hispanic_or_latino_point,non_hispanic_white_alone_apportioned,non_hispanic_white_alone_delta,non_hispanic_white_alone_point,rep_votes_apportioned,rep_votes_delta,rep_votes_point,total_population_apportioned,total_population_delta,total_population_point,total_votes_apportioned,total_votes_delta,total_votes_point,voting_age_population_apportioned,voting_age_population_delta,voting_age_population_point,white_alone_apportioned,white_alone_delta,white_alone_point
blocks,001,Alamance,872a8b02dffffff,0.415667,0.415667,0.0,,,,0.717114,0.717114,0.0,8.455808,8.455808,0.0,,,,10.648362,10.648362,0.0,,,,8.862057,8.862057,0.0,8.757255,8.757255,0.0
blocks,001,Alamance,872a8b040ffffff,0.04723,0.04723,0.0,,,,2.733371,-0.266629,3.0,157.932423,-19.067577,177.0,,,,169.944854,-21.055146,191.0,,,,141.801238,-17.198762,159.0,157.932423,-19.067577,177.0
blocks,001,Alamance,872a8b041ffffff,4.253218,1.253218,3.0,,,,6.353774,-1.646226,8.0,204.815514,-64.184486,269.0,,,,218.054199,-64.945801,283.0,,,,185.225318,-59.774682,245.0,204.850414,-64.149586,269.0
blocks,001,Alamance,872a8b043ffffff,2.235772,0.235772,2.0,,,,9.086642,1.086642,8.0,146.322059,28.322059,118.0,,,,164.218895,31.218895,133.0,,,,127.471385,26.471385,101.0,146.322059,28.322059,118.0
blocks,001,Alamance,872a8b044ffffff,119.265911,-23.734089,143.0,,,,53.255029,-9.744971,63.0,608.647743,-145.352257,754.0,,,,861.306234,-185.693766,1047.0,,,,611.786684,-130.213316,742.0,621.196325,-148.803675,770.0
blocks,001,Alamance,872a8b045ffffff,20.538472,18.538472,2.0,,,,14.845373,10.845373,4.0,338.918457,263.918457,75.0,,,,388.905042,300.905042,88.0,,,,311.503916,239.503916,72.0,340.499701,264.499701,76.0
blocks,001,Alamance,872a8b046ffffff,77.052035,38.052035,39.0,,,,28.898943,11.898943,17.0,257.654378,123.654378,134.0,,,,424.489245,181.489245,243.0,,,,270.882855,120.882855,150.0,269.40533,129.40533,140.0
blocks,001,Alamance,872a8b048ffffff,7.871857,-2.128143,10.0,,,,8.27422,-4.72578,13.0,194.529695,-149.470305,344.0,,,,224.17876,-161.82124,386.0,,,,165.070379,-123.929621,289.0,194.987828,-150.012172,345.0
blocks,001,Alamance,872a8b049ffffff,7.56633,0.56633,7.0,,,,11.498691,3.498691,8.0,159.138511,32.138511,127.0,,,,184.211041,37.211041,147.0,,,,151.776941,21.776941,130.0,163.004469,33.004469,130.0
blocks,001,Alamance,872a8b04affffff,14.78476,-3.21524,18.0,,,,11.1459,1.1459,10.0,132.650779,43.650779,89.0,,,,171.173227,43.173227,128.0,,,,130.774124,32.774124,98.0,135.002881,44.002881,91.0
blocks,001,Alamance,872a8b04bffffff,2.508492,0.508492,2.0,,,,5.938095,1.938095,4.0,85.743785,66.743785,19.0,,,,104.48291,72.48291,32.0,,,,87.659366,62.659366,25.0,87.916611,66.916611,21.0
blocks,001,Alamance,872a8b04cffffff,4.693989,-4.306011,9.0,,,,4.878975,-3.121025,8.0,130.702531,-100.297469,231.0,,,,144.958307,-111.041693,256.0,,,,114.898718,-87.101282,202.0,130.702531,-100.297469,231.0
blocks,001,Alamance,872a8b04dffffff,1.594553,-1.405447,3.0,,,,8.810237,-6.189763,15.0,127.450945,-40.549055,168.0,,,,141.120176,-50.879824,192.0,,,,109.012361,-42.987639,152.0,129.847865,-44.152135,174.0
blocks,001,Alamance,872a8b04effffff,8.73468,4.73468,4.0,,,,5.620267,0.620267,5.0,110.086919,29.086919,81.0,,,,132.661363,34.661363,98.0,,,,107.880256,29.880256,78.0,112.047609,29.047609,83.0
blocks,001,Alamance,872a8b05dffffff,0.381147,0.381147,0.0,,,,0.153698,0.153698,0.0,1.375745,1.375745,0.0,,,,2.154462,2.154462,0.0,,,,1.847065,1.847065,0.0,1.375745,1.375745,0.0
blocks,001,Alamance,872a8b060ffffff,709.627183,17.627183,692.0,,,,363.237218,18.237218,345.0,2162.340013,111.340013,2051.0,,,,3530.592605,142.592605,3388.0,,,,2864.599492,117.599492,2747.0,2219.955842,111.955842,2108.0
blocks,001,Alamance,872a8b061ffffff,38.524025,-7.475975,46.0,,,,38.641056,3.641056,35.0,417.300116,-34.699884,452.0,,,,512.554989,-35.445011,548.0,,,,421.527654,-35.472346,457.0,419.792504,-33.207496,453.0
