layer,county_fips,county_name,h3,black_alone_apportioned,black_alone_delta,black_alone_point,dem_votes_apportioned,dem_votes_delta,dem_votes_point,hispanic_or_latino_apportioned,hispanic_or_latino_delta,hispanic_or_latino_point,non_hispanic_white_alone_apportioned,non_hispanic_white_alone_delta,non_hispanic_white_alone_point,rep_votes_apportioned,rep_votes_delta,rep_votes_point,total_population_apportioned,total_population_delta,total_population_point,total_votes_apportioned,total_votes_delta,total_votes_point,voting_age_population_apportioned,voting_age_population_delta,voting_age_population_point,white_alone_apportioned,white_alone_delta,white_alone_point
blocks,119,Mecklenburg,8744d8401ffffff,1002.539238,2.539238,1000.0,,,,415.562194,-8.437806,424.0,1097.530517,-13.469483,1111.0,,,,2933.663926,-17.336074,2951.0,,,,2182.768688,-11.231312,2194.0,1138.693334,-5.306666,1144.0
blocks,119,Mecklenburg,8744d8403ffffff,198.578885,39.578885,159.0,,,,230.871124,-17.128876,248.0,466.573674,-8.426326,475.0,,,,986.695386,23.695386,963.0,,,,747.470001,0.470001,747.0,490.27592,-15.72408,506.0
blocks,119,Mecklenburg,8744d8405ffffff,271.356515,67.356515,204.0,,,,69.856383,8.856383,61.0,377.730374,91.730374,286.0,,,,805.10718,181.10718,624.0,,,,574.97054,133.97054,441.0,388.208756,93.208756,295.0
blocks,119,Mecklenburg,8744d8408ffffff,1595.27593,-312.72407,1908.0,,,,830.436641,-157.563359,988.0,1189.449258,-220.550742,1410.0,,,,4031.179051,-740.820949,4772.0,,,,2965.255739,-574.744261,3540.0,1303.588631,-234.411369,1538.0
blocks,119,Mecklenburg,8744d8409ffffff,377.285522,-127.714478,505.0,,,,156.343395,-39.656605,196.0,972.470577,-195.529423,1168.0,,,,1701.117612,-401.882388,2103.0,,,,1329.389735,-311.610265,1641.0,997.227549,-205.772451,1203.0
blocks,119,Mecklenburg,8744d840affffff,2410.518019,-72.481981,2483.0,,,,1254.100104,25.100104,1229.0,2441.119181,175.119181,2266.0,,,,6927.900852,195.900852,6732.0,,,,5435.114961,191.114961,5244.0,2593.670073,182.670073,2411.0
blocks,119,Mecklenburg,8744d840bffffff,893.571829,93.571829,800.0,,,,671.25334,24.25334,647.0,1278.271688,36.271688,1242.0,,,,3195.848345,168.848345,3027.0,,,,2399.811102,119.811102,2280.0,1330.588261,37.588261,1293.0
blocks,119,Mecklenburg,8744d840cffffff,619.310111,110.310111,509.0,,,,291.774825,45.774825,246.0,912.423481,-30.576519,943.0,,,,2042.429307,142.429307,1900.0,,,,1539.892226,112.892226,1427.0,949.004385,-28.995615,978.0
blocks,119,Mecklenburg,8744d840dffffff,35.721194,0.721194,35.0,,,,23.659187,-1.340813,25.0,330.130676,17.130676,313.0,,,,424.986384,16.986384,408.0,,,,331.643865,16.643865,315.0,337.007562,17.007562,320.0
blocks,119,Mecklenburg,8744d840effffff,2264.63187,92.63187,2172.0,,,,1216.744976,8.744976,1208.0,2023.129275,13.129275,2010.0,,,,6203.148194,102.148194,6101.0,,,,4761.613345,74.613345,4687.0,2186.029615,14.029615,2172.0
blocks,119,Mecklenburg,8744d8412ffffff,469.231082,14.231082,455.0,,,,936.081101,-58.918899,995.0,1741.674419,-23.325581,1765.0,,,,4014.284941,-216.715059,4231.0,,,,2975.328887,-145.671113,3121.0,1912.383853,-42.616147,1955.0
blocks,119,Mecklenburg,8744d8413ffffff,721.351427,-115.648573,837.0,,,,717.62774,-106.37226,824.0,1871.399607,-233.600393,2105.0,,,,3584.619855,-490.380145,4075.0,,,,2922.316004,-418.683996,3341.0,1963.540521,-245.459479,2209.0
blocks,119,Mecklenburg,8744d8418ffffff,0.088154,0.088154,0.0,,,,3.002577,-0.997423,4.0,0.59945,0.59945,0.0,,,,5.491195,-0.508805,6.0,,,,4.449641,-0.550359,5.0,0.59945,0.59945,0.0
blocks,119,Mecklenburg,8744d8419ffffff,451.097705,145.097705,306.0,,,,247.198265,71.198265,176.0,213.903739,62.903739,151.0,,,,987.639912,292.639912,695.0,,,,777.967062,225.967062,552.0,228.790254,67.790254,161.0
blocks,119,Mecklenburg,8744d841affffff,42.645163,26.645163,16.0,,,,44.156819,20.156819,24.0,70.483879,0.483879,70.0,,,,202.111446,43.111446,159.0,,,,143.652415,34.652415,109.0,71.055871,1.055871,70.0
blocks,119,Mecklenburg,8744d841bffffff,26.629963,26.629963,0.0,,,,17.762227,17.762227,0.0,2.034419,2.034419,0.0,,,,46.4352,46.4352,0.0,,,,37.09244,37.09244,0.0,2.219823,2.219823,0.0
blocks,119,Mecklenburg,8744d841dffffff,539.893244,-115.106756,655.0,,,,377.152138,-20.847862,398.0,1061.696705,-85.303295,1147.0,,,,2316.662251,-281.337749,2598.0,,,,1845.00804,-244.99196,2090.0,1110.401869,-88.598131,1199.0
blocks,119,Mecklenburg,8744d841effffff,123.157245,2.157245,121.0,,,,115.117885,0.117885,115.0,802.331153,7.331153,795.0,,,,1185.493237,14.493237,1171.0,,,,937.148051,10.148051,927.0,828.331153,7.331153,821.0
blocks,119,Mecklenburg,8744d8421ffffff,12.542634,12.542634,0.0,,,,2.294384,2.294384,0.0,51.08829,51.08829,0.0,,,,74.491009,74.491009,0.0,,,,56.288894,56.288894,0.0,51.394208,51.394208,0.0
blocks,119,Mecklenburg,8744d8428ffffff,194.679302,-59.320698,254.0,,,,78.093082,-15.906918,94.0,907.67023,-299.32977,1207.0,,,,1316.893136,-401.106864,1718.0,,,,1048.041596,-343.958404,1392.0,915.389711,-300.610289,1216.0
blocks,119,Mecklenburg,8744d8429ffffff,0.057262,0.057262,0.0,,,,0.210728,0.210728,0.0,6.53196,6.53196,0.0,,,,7.048014,7.048014,0.0,,,,6.707567,6.707567,0.0,6.53196,6.53196,0.0
blocks,119,Mecklenburg,8744d842affffff,591.577753,51.577753,540.0,,,,157.033741,9.033741,148.0,1206.577203,43.577203,1163.0,,,,2185.378888,124.378888,2061.0,,,,1668.226883,91.226883,1577.0,1256.216002,44.216002,1212.0
blocks,119,Mecklenburg,8744d842bffffff,175.929293,-36.070707,212.0,,,,48.876491,-5.123509,54.0,723.335649,-79.664351,803.0,,,,1020.107739,-140.892261,1161.0,,,,870.618746,-109.381254,980.0,725.581833,-79.418167,805.0
blocks,119,Mecklenburg,8744d842cffffff,43.354667,43.354667,0.0,,,,10.786687,10.786687,0.0,187.929295,187.929295,0.0,,,,262.904909,262.904909,0.0,,,,218.75159,218.75159,0.0,189.048897,189.048897,0.0
blocks,119,Mecklenburg,8744d842effffff,604.962975,-77.037025,682.0,,,,158.881031,-6.118969,165.0,1295.695378,-23.304622,1319.0,,,,2329.505413,-121.494587,2451.0,,,,1635.222584,-66.777416,1702.0,1328.351829,-24.648171,1353.0
blocks,119,Mecklenburg,8744d8450ffffff,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
blocks,119,Mecklenburg,8744d8452ffffff,1373.091822,-120.908178,1494.0,,,,551.753901,-40.246099,592.0,1493.086994,72.086994,1421.0,,,,4097.418845,-127.581155,4225.0,,,,2953.851018,-78.148982,3032.0,1589.050023,72.050023,1517.0
blocks,119,Mecklenburg,8744d8453ffffff,2.117399,2.117399,0.0,,,,0.626612,0.626612,0.0,4.295391,4.295391,0.0,,,,7.128689,7.128689,0.0,,,,6.233682,6.233682,0.0,4.295391,4.295391,0.0
blocks,119,Mecklenburg,8744d8454ffffff,13.578521,-6.421479,20.0,,,,11.158598,-5.841402,17.0,77.873073,-21.126927,99.0,,,,124.519818,-36.480182,161.0,,,,106.274105,-27.725895,134.0,78.708032,-22.291968,101.0
blocks,119,Mecklenburg,8744d8456ffffff,393.234173,82.234173,311.0,,,,170.236608,35.236608,135.0,745.625463,15.625463,730.0,,,,1580.928646,149.928646,1431.0,,,,1215.96413,88.96413,1127.0,770.514669,19.514669,751.0
blocks,119,Mecklenburg,8744d845affffff,3.648222,-2.351778,6.0,,,,3.326314,-1.673686,5.0,29.800288,-17.199712,47.0,,,,41.066862,-24.933138,66.0,,,,35.672564,-21.327436,57.0,29.800288,-17.199712,47.0
blocks,119,Mecklenburg,8744d8472ffffff,6.665459,6.665459,0.0,,,,15.40504,8.40504,7.0,69.4351,69.4351,0.0,,,,111.33105,97.33105,14.0,,,,93.424721,83.424721,10.0,74.600142,70.600142,4.0
blocks,119,Mecklenburg,8744d8473ffffff,0.512584,0.512584,0.0,,,,0.410067,0.410067,0.0,1.230201,1.230201,0.0,,,,2.562918,2.562918,0.0,,,,2.050334,2.050334,0.0,1.230201,1.230201,0.0
blocks,119,Mecklenburg,8744d8476ffffff,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
blocks,119,Mecklenburg,8744d8480ffffff,152.185342,11.185342,141.0,,,,262.478338,40.478338,222.0,3056.96695,660.96695,2396.0,,,,3820.268948,786.268948,3034.0,,,,2989.830201,585.830201,2404.0,3112.1859,664.1859,2448.0
blocks,119,Mecklenburg,8744d8481ffffff,117.05526,5.05526,112.0,,,,169.215596,14.215596,155.0,2916.235043,14.235043,2902.0,,,,3514.614158,54.614158,3460.0,,,,2654.373538,5.373538,2649.0,2958.16349,23.16349,2935.0
blocks,119,Mecklenburg,8744d8482ffffff,133.973987,-5.026013,139.0,,,,135.498479,-4.501521,140.0,2156.177736,-91.822264,2248.0,,,,2754.851132,-103.148868,2858.0,,,,2059.747397,-91.252603,2151.0,2187.109528,-91.890472,2279.0
