plan_id,plan_name,district_id,district_name,population_center_assigned,nonwhite_pct,precincts_centroid_assigned,dem_votes,rep_votes,dem_pct,margin_pct,party_lean,band
us-congress-118-enacted,118th Congress enacted districts,3701,Congressional District 1,744658,52.69,269,208344,179745,53.68,7.37,D,competitive
us-congress-118-enacted,118th Congress enacted districts,3702,Congressional District 2,737415,42.5,143,263534,144408,64.6,29.2,D,lean_dem
us-congress-118-enacted,118th Congress enacted districts,3703,Congressional District 3,717693,36.27,202,124131,208121,37.36,-25.28,R,lean_rep
us-congress-118-enacted,118th Congress enacted districts,3704,Congressional District 4,746142,47.6,162,270137,128522,67.76,35.52,D,deep_dem
us-congress-118-enacted,118th Congress enacted districts,3705,Congressional District 5,748477,27.48,260,156226,241250,39.3,-21.39,R,lean_rep
us-congress-118-enacted,118th Congress enacted districts,3706,Congressional District 6,742813,48.41,211,217980,169347,56.28,12.56,D,lean_dem
us-congress-118-enacted,118th Congress enacted districts,3707,Congressional District 7,740032,38.9,193,169937,216618,43.96,-12.08,R,lean_rep
us-congress-118-enacted,118th Congress enacted districts,3708,Congressional District 8,744663,30.63,204,127161,261327,32.73,-34.54,R,deep_rep
us-congress-118-enacted,118th Congress enacted districts,3709,Congressional District 9,742279,44.48,147,159537,188377,45.86,-8.29,R,competitive
us-congress-118-enacted,118th Congress enacted districts,3710,Congressional District 10,746848,24.37,178,118002,275823,29.96,-40.07,R,deep_rep
us-congress-118-enacted,118th Congress enacted districts,3711,Congressional District 11,743289,17.83,274,192230,236310,44.86,-10.29,R,lean_rep
us-congress-118-enacted,118th Congress enacted districts,3712,Congressional District 12,737888,58.97,114,236081,125584,65.28,30.55,D,deep_dem
us-congress-118-enacted,118th Congress enacted districts,3713,Congressional District 13,750418,41.48,127,199190,191997,50.92,1.84,D,competitive
us-congress-118-enacted,118th Congress enacted districts,3714,Congressional District 14,748778,43.34,149,224520,160411,58.33,16.65,D,lean_dem
nc-2022-court-interim-congressional,NC 2022 court-ordered congressional plan,3701,NC Congressional District 1,744131,52.75,269,208344,179745,53.68,7.37,D,competitive
nc-2022-court-interim-congressional,NC 2022 court-ordered congressional plan,3702,NC Congressional District 2,733504,42.55,144,264522,144876,64.61,29.22,D,lean_dem
nc-2022-court-interim-congressional,NC 2022 court-ordered congressional plan,3703,NC Congressional District 3,745833,35.6,224,134447,227444,37.15,-25.7,R,lean_rep
nc-2022-court-interim-congressional,NC 2022 court-ordered congressional plan,3704,NC Congressional District 4,745195,47.61,162,270137,128522,67.76,35.52,D,deep_dem
nc-2022-court-interim-congressional,NC 2022 court-ordered congressional plan,3705,NC Congressional District 5,746746,27.5,260,156226,241250,39.3,-21.39,R,lean_rep
nc-2022-court-interim-congressional,NC 2022 court-ordered congressional plan,3706,NC Congressional District 6,743941,48.38,211,217980,169347,56.28,12.56,D,lean_dem
